matchName,name,tAmount,seatFill,tCapacity,winAmount,cPublishTime,profit,created,matchPTime,realMTime
New Zealand vs Bangladesh,Mega Contest,20.0,54,300,2000.0,2019-02-14 19:38:33,-920.0,2019-02-14 19:38:33,2019-02-14 17:09:35,2019-02-16 04:00:00
Islamabad United vs Multan Sultans,Mega Contest,20.0,30,300,550.0,2019-02-14 19:40:04,50.0,2019-02-14 19:40:04,2019-02-14 17:09:35,2019-02-16 17:30:00
Lahore Qalandars vs Karachi Kings,Mega Contest,20.0,30,300,550.0,2019-02-14 19:42:14,50.0,2019-02-14 19:42:14,2019-02-14 17:09:35,2019-02-16 22:00:00
Islamabad United vs Quetta Gladiators,Mega Contest,20.0,33,300,550.0,2019-02-16 16:53:01,110.0,2019-02-16 16:53:01,2019-02-14 17:09:35,2019-02-17 17:30:00
Peshawar Zalmi vs Lahore Qalandars,Mega Contest,20.0,28,300,550.0,2019-02-16 16:57:44,10.0,2019-02-16 16:57:44,2019-02-14 17:09:35,2019-02-17 22:00:00
New Zealand vs Bangladesh,Mega Contest,20.0,117,300,2000.0,2019-02-17 17:58:46,340.0,2019-02-17 17:58:46,2019-02-14 17:09:35,2019-02-20 04:00:00
West Indies vs England,Mega Contest,15.0,82,300,1000.0,2019-02-18 18:21:00,230.0,2019-02-18 18:21:00,2019-02-14 17:09:35,2019-02-20 21:00:00
Multan Sultans vs Quetta Gladiators,Mega Contest,10.0,29,300,550.0,2019-02-19 13:32:21,-260.0,2019-02-19 13:32:21,2019-02-14 17:09:35,2019-02-20 22:00:00
Peshawar Zalmi vs Karachi Kings,Mega Contest,10.0,49,300,550.0,2019-02-20 15:01:19,-60.0,2019-02-20 15:01:19,2019-02-14 17:09:35,2019-02-21 22:00:00
Lahore Qalandars vs Multan Sultans,Mega Contest,10.0,32,300,550.0,2019-02-21 12:18:49,-230.0,2019-02-21 12:18:49,2019-02-14 17:09:35,2019-02-22 17:30:00
West Indies vs England,Mega Contest,15.0,55,300,1000.0,2019-02-21 12:23:32,-175.0,2019-02-21 12:23:32,2019-02-14 17:09:35,2019-02-22 21:00:00
Islamabad United vs Peshawar Zalmi,Mega Contest,10.0,21,300,550.0,2019-02-21 12:27:30,-340.0,2019-02-21 12:27:30,2019-02-14 17:09:35,2019-02-22 22:00:00
Quetta Gladiators vs Lahore Qalandars,Mega Contest,10.0,27,300,550.0,2019-02-22 16:11:47,-280.0,2019-02-22 16:11:47,2019-02-14 17:09:35,2019-02-23 17:30:00
Islamabad United vs Karachi Kings,Mega Contest,10.0,23,300,550.0,2019-02-22 16:14:31,-320.0,2019-02-22 16:14:31,2019-02-14 17:09:35,2019-02-23 22:00:00
India vs Australia,Mega Contest,20.0,76,300,2500.0,2019-02-22 16:39:41,-980.0,2019-02-22 16:39:41,2019-02-14 17:09:35,2019-02-24 19:30:00
West Indies vs England,Mega Contest,15.0,52,300,1000.0,2019-02-23 22:53:08,-220.0,2019-02-23 22:53:08,2019-02-14 17:09:35,2019-02-25 19:30:00
Islamabad United vs Multan Sultans,Mega Contest,10.0,42,300,550.0,2019-02-23 22:58:20,-130.0,2019-02-23 22:58:20,2019-02-14 17:09:35,2019-02-26 22:00:00
West Indies vs England,Mega Contest,15.0,45,300,1000.0,2019-02-25 14:46:07,-325.0,2019-02-25 14:46:07,2019-02-14 17:09:35,2019-02-27 19:30:00
India vs Australia,Mega Contest,20.0,57,300,2500.0,2019-02-25 14:54:24,-1360.0,2019-02-25 14:54:24,2019-02-14 17:09:35,2019-02-27 19:30:00
Multan Sultans vs Peshawar Zalmi,Mega Contest,10.0,28,300,550.0,2019-02-27 13:57:44,-270.0,2019-02-27 13:57:44,2019-02-14 17:09:35,2019-02-28 17:30:00
Karachi Kings vs Lahore Qalandars,Mega Contest,10.0,35,300,550.0,2019-02-27 14:16:06,-200.0,2019-02-27 14:16:06,2019-02-14 17:09:35,2019-02-28 22:00:00
Peshawar Zalmi vs Islamabad United,Mega Contest,10.0,29,300,550.0,2019-02-28 16:23:37,-260.0,2019-02-28 16:23:37,2019-02-28 15:21:15,2019-03-01 17:30:00
India vs Australia,Mega Contest,20.0,44,300,2500.0,2019-03-01 14:54:58,-1620.0,2019-03-01 14:54:58,2019-02-28 15:21:15,2019-03-02 14:00:00
West Indies vs England,Mega Contest,15.0,41,300,1000.0,2019-03-01 15:18:48,-385.0,2019-03-01 15:18:48,2019-02-28 15:21:15,2019-03-02 21:00:00
South Africa vs Sri Lanka,Mega Contest,20.0,36,300,1500.0,2019-03-02 15:49:07,-780.0,2019-03-02 15:49:07,2019-02-28 15:21:15,2019-03-03 14:00:00
Quetta Gladiators vs Peshawar Zalmi,Mega Contest,10.0,39,300,550.0,2019-03-02 16:00:49,-160.0,2019-03-02 16:00:49,2019-02-28 15:21:15,2019-03-04 17:30:00
Karachi Kings vs Multan Sultans,Mega Contest,10.0,31,300,550.0,2019-03-02 16:04:23,-240.0,2019-03-02 16:04:23,2019-02-28 15:21:15,2019-03-04 22:00:00
India vs Australia,Mega Contest,20.0,60,300,2000.0,2019-03-03 16:43:48,-800.0,2019-03-03 16:43:48,2019-02-28 15:21:15,2019-03-05 14:00:00
Quetta Gladiators vs Islamabad United,Mega Contest,10.0,24,300,550.0,2019-03-03 17:06:57,-310.0,2019-03-03 17:06:57,2019-02-28 15:21:15,2019-03-05 22:00:00
West Indies vs England,Mega Contest,15.0,56,300,1000.0,2019-03-04 13:39:42,-160.0,2019-03-04 13:39:42,2019-02-28 15:21:15,2019-03-06 02:00:00
South Africa vs Sri Lanka,Mega Contest,20.0,41,300,1500.0,2019-03-04 13:47:22,-680.0,2019-03-04 13:47:22,2019-02-28 15:21:15,2019-03-06 17:00:00
Karachi Kings vs Peshawar Zalmi,Mega Contest,10.0,26,300,550.0,2019-03-05 14:13:15,-290.0,2019-03-05 14:13:15,2019-02-28 15:21:15,2019-03-07 20:00:00
India vs Australia,Mega Contest,20.0,50,300,2000.0,2019-03-06 13:07:24,-1000.0,2019-03-06 13:07:24,2019-02-28 15:21:15,2019-03-08 14:00:00
West Indies vs England,Mega Contest,15.0,48,300,1000.0,2019-03-06 13:14:23,-280.0,2019-03-06 13:14:23,2019-02-28 15:21:15,2019-03-09 02:00:00
Lahore Qalandars vs Islamabad United,Mega Contest,10.0,36,300,500.0,2019-03-07 01:11:04,-140.0,2019-03-07 01:11:04,2019-02-28 15:21:15,2019-03-09 20:00:00
South Africa vs Sri Lanka,Mega Contest,20.0,36,300,1500.0,2019-03-08 11:45:26,-780.0,2019-03-08 11:45:26,2019-02-28 15:21:15,2019-03-10 14:00:00
India vs Australia,Mega Contest,20.0,40,300,2000.0,2019-03-08 11:54:17,-1200.0,2019-03-08 11:54:17,2019-02-28 15:21:15,2019-03-10 14:00:00
