Teams,Score
Australia Women,1
England Women,2
New Zealand Women,3
India Women,4
South Africa Women,5
West Indies Women,6
Pakistan Women,7
Sri Lanka Women,8
Bangladesh Women,9
Ireland Women,10
Thailand Women,11
Zimbabwe Women,12
Scotland Women,13
Nepal Women,14
PNG Women,15
UAE Women,16
Uganda Women,17
Samoa Women,18
Tanzania Women,19
Kenya Women,20
Netherlands Women,21
Indonesia Women,22
Hong Kong Women,23
Namibia Women,24
China Women,25
Japan Women,26
Germany Women,27
Vanuatu Women,28
Belize Women,29
Kuwait Women,30
Malaysia Women,31
Rwanda Women,32
Myanmar Women,33
Argentina Women,34
USA Women,35
Botswana Women,36
Jersey Women,37
Brazil Women,38
Sierra Leone Women,39
France Women,40
Nigeria Women,41
Denmark Women,42
Oman Women,43
Qatar Women,44
South Korea Women,45
Bhutan Women,46
Malawi Women,47
Chile Women,48
Mexico Women,49
Austria Women,50
Costa Rica,51
Mozambique Women,52
Belgium Women,53
Singapore Women,54
Peru Women,55
Fiji Women,56
Norway Women,57
Mali Women,58
Lesotho Women,59
